18732	
	(-0.3010631578,0.05231203372)	(-0.02943726059,0.4673646405)	(0.7475571181,-0.1268604701)	(0.2128490531,0.3425736575)	(-0.2836621855,0.9589242747)
	(0.6536436209,0.7568024953)	(-0.7555613467,-0.6550778972)	(0.8727378165,0.4881892089)	(0.9816740047,-0.1905679629)	(0.6536436209,-0.7568024953)
	(0.6536436209,-0.7568024953)	(0.9816740047,-0.1905679629)	(0.6536436209,0.7568024953)	(0.9816740047,-0.1905679629)	(0.6536436209,-0.7568024953)
	(0.6536436209,-0.7568024953)	(0.9816740047,-0.1905679629)	(-0.3002255649,0.0527518834)	(-0.2997567324,0.05270560829)	(-0.2991665537,0.05204264058)
	(-0.2991196484,0.05099798437)	(-0.2988344354,0.04933346218)	(-0.2989313985,0.04727520694)	(-0.2991806509,0.04472095829)	(-0.2995140791,0.04169532547)
	(-0.2997463996,0.03818061876)	(-0.3002382525,0.03429620277)	(-0.3009544553,0.03008061508)	(-0.3015335951,0.02542047074)	(-0.302195361,0.02044043274)
	(-0.3029800915,0.01515301882)	(-0.3037868841,0.009568961405)	(-0.304435546,0.00367149029)	(-0.3050377967,-0.002461170695)	(-0.3057894016,-0.008772001439)
	(-0.3064788055,-0.01528977525)	(-0.3071108228,-0.02195942944)	(-0.3078409408,-0.02874450316)	(-0.3082064654,-0.03569243342)	(-0.30885024,-0.04268863906)
	(-0.309258512,-0.04974445595)	(-0.3095869652,-0.05685761956)	(-0.309938597,-0.06395497463)	(-0.310472706,-0.07111972746)	(-0.3106109476,-0.07819558883)
	(-0.3109121974,-0.08525214489)	(-0.311158352,-0.09225870633)	(-0.3114487846,-0.0991829754)	(-0.3116974214,-0.1060389363)	(-0.3120328223,-0.1128013052)
	(-0.3124907756,-0.1194960565)	(-0.3129020231,-0.1260828222)	(-0.3137155475,-0.1326171639)	(-0.3140019841,-0.1388700418)	(-0.3149654651,-0.1452298551)
	(-0.3158687123,-0.1513972634)	(-0.3170783346,-0.1575055582)	(-0.3184600264,-0.1635070423)	(-0.3198393964,-0.1693814459)	(-0.3215569378,-0.1752320254)
	(-0.3236800105,-0.1810093016)	(-0.3261375124,-0.1868082039)	(-0.3284801919,-0.1924489693)	(-0.3314735965,-0.1981031611)	(-0.3346029995,-0.203766338)
	(-0.3379323017,-0.2092972372)	(-0.3418396364,-0.2148577355)	(-0.3463454808,-0.2206760384)	(-0.350626217,-0.2261442355)	(-0.3558519626,-0.2319131336)
	(-0.3608260493,-0.2373925678)	(-0.3662580513,-0.2429840156)	(-0.3721949944,-0.2484974812)	(-0.3787197835,-0.2543034641)	(-0.3851178635,-0.2596420981)
	(-0.3920418937,-0.2652330391)	(-0.3991430901,-0.2705134294)	(-0.4066124249,-0.2759014435)	(-0.4142110052,-0.2808727992)	(-0.4223108567,-0.2860541302)
	(-0.4302244922,-0.2905686798)	(-0.4390076663,-0.295267831)	(-0.447112334,-0.2992272897)	(-0.4556025462,-0.3029888997)	(-0.4643689888,-0.3063075037)
	(-0.4730980866,-0.3092314171)	(-0.4821027535,-0.3116273984)	(-0.4904165252,-0.3132177229)	(-0.4990989176,-0.3141585716)	(-0.5076747283,-0.3144736366)
	(-0.5163842283,-0.3140316915)	(-0.5245135979,-0.3125018059)	(-0.532814639,-0.3103624867)	(-0.5403992898,-0.3069796744)	(-0.5479008658,-0.3025868858)
	(-0.5552272403,-0.2971699823)	(-0.5620938496,-0.2905499536)	(-0.5686132155,-0.2827887082)	(-0.5746801102,-0.2737962331)	(-0.5802202144,-0.2635566027)
	(-0.5853194079,-0.252049764)	(-0.5899969363,-0.2393188518)	(-0.5939331311,-0.2252913772)	(-0.5973887655,-0.2100160805)	(-0.6000742219,-0.193448305)
	(-0.602161598,-0.1756651175)	(-0.6034097824,-0.1566709225)	(-0.604056363,-0.1365221152)	(-0.6035478562,-0.1152882341)	(-0.6030127357,-0.09298691267)
	(-0.6003011137,-0.06972134907)	(-0.5970852914,-0.04553186452)	(-0.5926565506,-0.02057959514)	(-0.5873682974,0.005162423927)	(-0.5807821501,0.03147242623)
	(-0.5727677444,0.05822362166)	(-0.563590238,0.08538419515)	(-0.553372483,0.1128870197)	(-0.5410909448,0.1402701282)	(-0.5277340818,0.1677569803)
