18732	
	(-7.499248356e-39,4.344471155e-39)	(-1.144897346e-23,1.039827727e-23)	(-1.320102009e-39,1.090273185e-39)	(3.3880055e-30,1.015290234e-31)	(-1,-1.923670694e-13)
	(-1,-1.176156112e-13)	(-1,9.21157226e-14)	(-1,9.21157226e-14)	(-1,1.097580643e-13)	(-1,2.018861665e-13)
	(-1,1.960177655e-13)	(-1,3.928773447e-15)	(-1,-2.23444902e-13)	(-1,2.430392508e-13)	(-1,1.881602186e-13)
	(-1,-1.566557534e-14)	(-1,1.529002945e-13)	(-4.716493306e-39,2.796465004e-39)	(-1.252518006e-39,8.175788164e-40)	(-5.496061977e-39,4.750664318e-39)
	(1.005147604e-38,-7.873286219e-39)	(-2.063769733e-38,1.539434222e-38)	(1.559827439e-39,-3.964330781e-40)	(5.067750146e-38,1.682374928e-38)	(-1.426658508e-37,-3.156735181e-38)
	(-9.147057341e-38,-4.389562315e-38)	(1.147468004e-37,-8.685120057e-38)	(-9.406894782e-38,4.599919942e-37)	(5.674833257e-38,1.674151783e-37)	(-1.121242145e-37,-2.35580284e-37)
	(-8.598321148e-37,2.910050716e-36)	(1.755782984e-36,-1.232918384e-36)	(-6.412917808e-37,1.575582593e-35)	(-3.510749847e-36,2.166682486e-35)	(5.436376541e-37,2.045243704e-36)
	(-7.675297856e-37,3.73735627e-36)	(-7.361246124e-36,3.703632333e-35)	(1.149913079e-35,-5.935944602e-35)	(4.628331698e-36,-1.340441577e-35)	(6.386963294e-36,-4.539264068e-35)
	(-1.278186843e-35,7.720145762e-35)	(-2.954368665e-35,-1.350176032e-34)	(1.099774454e-34,5.763763126e-34)	(-3.104031645e-34,-1.648511795e-33)	(7.764912481e-35,7.909466788e-34)
	(1.072748258e-33,5.960688599e-33)	(-9.822796192e-34,-5.151350265e-33)	(1.279512844e-33,9.546606636e-33)	(7.835190707e-33,4.584199127e-32)	(-5.784009516e-33,-2.792951615e-32)
	(2.290699075e-32,1.426181823e-31)	(4.660969751e-32,3.061164631e-31)	(-5.922118522e-32,-5.04069762e-31)	(-1.012392079e-33,1.187221093e-31)	(5.688207041e-32,-5.722863201e-31)
	(-3.647503325e-31,-7.032872918e-31)	(2.273348377e-30,1.655464111e-30)	(-8.165510524e-30,-6.689534667e-30)	(1.661585392e-30,2.521148749e-30)	(2.096032343e-29,1.92676951e-29)
	(-3.415109208e-29,-2.904490415e-29)	(-4.881861861e-29,-3.679557984e-29)	(4.373755808e-29,4.064812846e-29)	(-1.057020907e-28,-8.711383301e-29)	(-4.34114483e-29,-6.177969645e-29)
	(6.18650702e-29,5.616633132e-29)	(8.660292246e-29,1.011160587e-28)	(-7.203057777e-29,-5.910664717e-28)	(-7.023009709e-28,1.977435758e-27)	(2.870387324e-27,-8.483159757e-27)
	(5.314707626e-27,-1.274800625e-26)	(-1.322907332e-27,2.008040611e-27)	(-6.412784138e-27,1.885579138e-26)	(8.899020824e-27,-3.070134623e-26)	(-8.296664332e-27,4.360208423e-26)
	(-1.92000445e-27,1.701898085e-26)	(1.500897336e-27,-1.535423232e-26)	(-1.958088598e-28,7.497232264e-27)	(2.525410085e-29,-5.582259462e-27)	(3.135935888e-27,-1.118109597e-26)
	(-2.996553558e-27,-1.006111169e-26)	(-1.721529786e-26,1.66963325e-26)	(3.0163365e-26,-7.819859185e-27)	(4.670344016e-25,7.634280526e-26)	(-5.61379679e-25,-1.266455074e-25)
	(-1.396735318e-24,-5.575452017e-25)	(2.283161202e-24,8.204454202e-25)	(-7.272590925e-25,-9.313993988e-25)	(3.843759958e-25,-4.481084666e-24)	(9.908085133e-24,3.525891062e-23)
	(-2.701557361e-23,-1.827181267e-22)	(-1.264480009e-22,6.340948433e-22)	(8.929759252e-22,-4.05121093e-22)	(6.962080738e-22,9.089517443e-22)	(6.60356409e-21,-2.764116813e-20)
	(-2.263319227e-20,1.020064276e-19)	(2.582666398e-20,-1.097693539e-19)	(7.792601734e-20,-3.200566376e-19)	(6.243206412e-20,-2.96525031e-19)	(-1.644530952e-19,7.565529923e-19)
	(2.60022541e-19,-1.087483266e-18)	(7.986696668e-20,-4.344488479e-19)	(-6.833555291e-19,2.997787303e-18)	(-8.112299867e-20,1.467671539e-20)	(5.989966532e-21,3.622959816e-19)
	(-9.585723319e-20,1.094786513e-19)	(-9.983131421e-20,1.624517274e-18)	(-1.008548007e-19,2.380421976e-18)	(-2.25603958e-20,1.061197558e-19)	(-1.143532674e-19,-2.243949969e-18)
	(-2.393846963e-19,-7.164827963e-19)	(-5.683930972e-20,-6.130854213e-19)	(1.272342276e-19,-2.084238979e-19)	(-1.234679429e-19,-1.205211132e-18)	(-1.373594884e-21,-2.229310139e-19)
	(-4.331474318e-21,-2.25585113e-19)	(-7.13498629e-19,-5.098043163e-18)	(5.637172953e-19,5.175580427e-18)	(1.251754859e-19,1.071297592e-18)	(1.175510722e-19,1.15721189e-18)
	(-4.294569345e-21,1.051364344e-19)	(5.595485065e-20,1.739837102e-19)	(-6.074416654e-20,9.837872623e-20)	(-1.806057686e-20,2.877685075e-19)	(-6.802793285e-21,3.849049361e-19)
	(-1.948496252e-21,-2.262293906e-19)	(-1.980908355e-21,-5.666975721e-20)	(5.477409966e-21,7.050750308e-20)	(1.045361707e-21,-1.301410269e-20)	(1.995884131e-21,3.235621344e-21)
	(8.601844749e-21,9.757515304e-21)	(2.781011364e-21,3.47677184e-21)	(-2.181259079e-21,-2.152973786e-21)	(6.19788747e-23,1.135314711e-21)	(-8.326916277e-23,2.29859991e-22)
	(-1.178884907e-22,3.264738177e-22)	(-6.128571171e-23,2.178764422e-22)	(5.25338315e-23,-1.996411637e-22)	(1.232287625e-23,-5.244822803e-23)	(2.933419924e-24,-1.081596466e-24)
	(2.143183808e-24,-9.284452524e-24)	(-2.425765003e-25,-3.772756338e-26)	(7.665057307e-26,5.324490065e-26)	(2.776201068e-27,-4.204050082e-25)	(1.755463674e-26,-9.792717276e-26)
	(-8.09463718e-27,3.644759731e-26)	(1.022311222e-28,4.835181977e-28)	(5.200064422e-28,-6.965103644e-28)	(-3.123910049e-28,8.129598261e-28)	(4.240600414e-29,-1.020295803e-28)
	(4.236150754e-29,-4.730450838e-29)	(-4.595636104e-29,-6.456006283e-30)	(3.81082858e-28,2.803284209e-30)	(-5.495892218e-28,-3.118365739e-30)	(-1.218374396e-27,-4.344304344e-29)
	(2.067400108e-28,-2.789825627e-29)	(1.286009912e-27,8.590620358e-28)	(2.954512926e-27,-1.149259977e-27)	(6.846664723e-27,1.575971837e-27)	(-3.472638377e-26,-2.939681642e-26)
	(2.240882858e-25,1.899550254e-25)	(-6.696516246e-25,-5.136731215e-25)	(-9.757070854e-25,-1.152212693e-24)	(1.078432465e-24,-1.592341569e-24)	(-3.042291976e-24,-5.239923794e-25)
	(4.912482954e-24,1.18147811e-24)	(-3.480991997e-24,-6.611080045e-25)	(-5.633111291e-24,-1.492340457e-24)	(1.737638392e-25,5.606589268e-25)	(1.312711642e-23,5.2170937e-24)
	(-4.713633525e-24,-1.047245262e-24)	(-3.462528724e-24,-6.736818934e-25)	(2.839516729e-23,7.164406088e-24)	(-2.475523313e-23,-4.89553508e-24)	(1.193456754e-23,-4.341969094e-25)
	(-1.131799922e-23,5.014816805e-25)	(-1.288725942e-23,-1.428718261e-23)	(6.36633467e-24,-9.256490539e-24)	(1.149344779e-23,2.055967829e-23)	(-9.816326738e-24,1.035130206e-23)
	(-1.501591693e-23,-1.315646199e-23)	(2.824750592e-23,1.818381172e-23)	(5.655025921e-23,3.425083893e-23)	(5.069115103e-23,2.294059566e-23)	(-3.834895628e-23,-1.206243309e-23)
	(-1.483125407e-23,-2.404426681e-25)	(8.201361019e-24,6.45359466e-25)	(-8.235275892e-25,-5.009611583e-25)	(3.153909252e-25,-5.167876096e-25)	(1.862006571e-25,3.064851262e-25)
	(4.353657547e-25,-5.60126148e-25)	(-4.14234698e-25,2.215515472e-25)	(-2.023772429e-26,1.214473328e-25)	(-3.283372481e-25,6.707185745e-25)	(-1.860850438e-25,3.77383006e-25)
	(-8.539778068e-27,-3.301351831e-26)	(-1.025924029e-26,4.031613896e-26)	(1.830949473e-26,-3.715976623e-26)	(2.998348267e-26,-3.632245973e-26)	(4.460265497e-26,-3.690700741e-26)
	(-2.4339909e-26,2.36285358e-26)	(-2.714729366e-26,2.034598333e-26)	(4.911055478e-27,2.388516242e-27)	(-5.497045501e-27,6.969960374e-27)	(-1.851988108e-27,-2.338576772e-27)
